File,,REFLECTIVITY.csv,,,,,,,,
Date/Time,,26-03-05/14:34,,,,,,,,
,,,,,,,,,,
Trace,,A,,,,,,,,
1538.09,-1.339419088,4.5770E-002,1538.09,4.5770E-002,1538.09,4.5770E-002,1538.09,4.5770E-002,1538.09,4.5770E-002
1538.16,-1.347656945,4.4910E-002,1538.16,4.4910E-002,1538.16,4.4910E-002,1538.16,4.4910E-002,1538.16,4.4910E-002
1538.23,-1.355659901,4.4090E-002,1538.23,4.4090E-002,1538.23,4.4090E-002,1538.23,4.4090E-002,1538.23,4.4090E-002
1538.3,-1.362810578,4.3370E-002,1538.3,4.3370E-002,1538.3,4.3370E-002,1538.3,4.3370E-002,1538.3,4.3370E-002
1538.37,-1.370080964,4.2650E-002,1538.37,4.2650E-002,1538.37,4.2650E-002,1538.37,4.2650E-002,1538.37,4.2650E-002
1538.44,-1.376647318,4.2010E-002,1538.44,4.2010E-002,1538.44,4.2010E-002,1538.44,4.2010E-002,1538.44,4.2010E-002
1538.51,-1.383314479,4.1370E-002,1538.51,4.1370E-002,1538.51,4.1370E-002,1538.51,4.1370E-002,1538.51,4.1370E-002
1538.58,-1.389127,4.0820E-002,1538.58,4.0820E-002,1538.58,4.0820E-002,1538.58,4.0820E-002,1538.58,4.0820E-002
1538.65,-1.394802733,4.0290E-002,1538.65,4.0290E-002,1538.65,4.0290E-002,1538.65,4.0290E-002,1538.65,4.0290E-002
1538.72,-1.400335221,3.9780E-002,1538.72,3.9780E-002,1538.72,3.9780E-002,1538.72,3.9780E-002,1538.72,3.9780E-002
1538.79,-1.40494491,3.9360E-002,1538.79,3.9360E-002,1538.79,3.9360E-002,1538.79,3.9360E-002,1538.79,3.9360E-002
1538.86,-1.409492538,3.8950E-002,1538.86,3.8950E-002,1538.86,3.8950E-002,1538.86,3.8950E-002,1538.86,3.8950E-002
1538.93,-1.413862975,3.8560E-002,1538.93,3.8560E-002,1538.93,3.8560E-002,1538.93,3.8560E-002,1538.93,3.8560E-002
1539,-1.417709317,3.8220E-002,1539,3.8220E-002,1539,3.8220E-002,1539,3.8220E-002,1539,3.8220E-002
1539.07,-1.421246216,3.7910E-002,1539.07,3.7910E-002,1539.07,3.7910E-002,1539.07,3.7910E-002,1539.07,3.7910E-002
1539.14,-1.424927674,3.7590E-002,1539.14,3.7590E-002,1539.14,3.7590E-002,1539.14,3.7590E-002,1539.14,3.7590E-002
1539.21,-1.427825686,3.7340E-002,1539.21,3.7340E-002,1539.21,3.7340E-002,1539.21,3.7340E-002,1539.21,3.7340E-002
1539.28,-1.430158101,3.7140E-002,1539.28,3.7140E-002,1539.28,3.7140E-002,1539.28,3.7140E-002,1539.28,3.7140E-002
1539.35,-1.432855955,3.6910E-002,1539.35,3.6910E-002,1539.35,3.6910E-002,1539.35,3.6910E-002,1539.35,3.6910E-002
1539.42,-1.434624497,3.6760E-002,1539.42,3.6760E-002,1539.42,3.6760E-002,1539.42,3.6760E-002,1539.42,3.6760E-002
1539.49,-1.437112619,3.6550E-002,1539.49,3.6550E-002,1539.49,3.6550E-002,1539.49,3.6550E-002,1539.49,3.6550E-002
1539.56,-1.438660059,3.6420E-002,1539.56,3.6420E-002,1539.56,3.6420E-002,1539.56,3.6420E-002,1539.56,3.6420E-002
1539.63,-1.440093375,3.6300E-002,1539.63,3.6300E-002,1539.63,3.6300E-002,1539.63,3.6300E-002,1539.63,3.6300E-002
1539.7,-1.441771578,3.6160E-002,1539.7,3.6160E-002,1539.7,3.6160E-002,1539.7,3.6160E-002,1539.7,3.6160E-002
1539.77,-1.443094731,3.6050E-002,1539.77,3.6050E-002,1539.77,3.6050E-002,1539.77,3.6050E-002,1539.77,3.6050E-002
1539.84,-1.443335738,3.6030E-002,1539.84,3.6030E-002,1539.84,3.6030E-002,1539.84,3.6030E-002,1539.84,3.6030E-002
1539.91,-1.444542783,3.5930E-002,1539.91,3.5930E-002,1539.91,3.5930E-002,1539.91,3.5930E-002,1539.91,3.5930E-002
1539.98,-1.44551084,3.5850E-002,1539.98,3.5850E-002,1539.98,3.5850E-002,1539.98,3.5850E-002,1539.98,3.5850E-002
1540.05,-1.445631999,3.5840E-002,1540.05,3.5840E-002,1540.05,3.5840E-002,1540.05,3.5840E-002,1540.05,3.5840E-002
1540.12,-1.445874418,3.5820E-002,1540.12,3.5820E-002,1540.12,3.5820E-002,1540.12,3.5820E-002,1540.12,3.5820E-002
1540.19,-1.44648106,3.5770E-002,1540.19,3.5770E-002,1540.19,3.5770E-002,1540.19,3.5770E-002,1540.19,3.5770E-002
1540.26,-1.446966984,3.5730E-002,1540.26,3.5730E-002,1540.26,3.5730E-002,1540.26,3.5730E-002,1540.26,3.5730E-002
1540.33,-1.44660249,3.5760E-002,1540.33,3.5760E-002,1540.33,3.5760E-002,1540.33,3.5760E-002,1540.33,3.5760E-002
1540.4,-1.446116973,3.5800E-002,1540.4,3.5800E-002,1540.4,3.5800E-002,1540.4,3.5800E-002,1540.4,3.5800E-002
1540.47,-1.445995679,3.5810E-002,1540.47,3.5810E-002,1540.47,3.5810E-002,1540.47,3.5810E-002,1540.47,3.5810E-002
1540.54,-1.445874418,3.5820E-002,1540.54,3.5820E-002,1540.54,3.5820E-002,1540.54,3.5820E-002,1540.54,3.5820E-002
1540.61,-1.445389715,3.5860E-002,1540.61,3.5860E-002,1540.61,3.5860E-002,1540.61,3.5860E-002,1540.61,3.5860E-002
1540.68,-1.444421927,3.5940E-002,1540.68,3.5940E-002,1540.68,3.5940E-002,1540.68,3.5940E-002,1540.68,3.5940E-002
1540.75,-1.444421927,3.5940E-002,1540.75,3.5940E-002,1540.75,3.5940E-002,1540.75,3.5940E-002,1540.75,3.5940E-002
1540.82,-1.443697499,3.6000E-002,1540.82,3.6000E-002,1540.82,3.6000E-002,1540.82,3.6000E-002,1540.82,3.6000E-002
1540.89,-1.442733471,3.6080E-002,1540.89,3.6080E-002,1540.89,3.6080E-002,1540.89,3.6080E-002,1540.89,3.6080E-002
1540.96,-1.441651491,3.6170E-002,1540.96,3.6170E-002,1540.96,3.6170E-002,1540.96,3.6170E-002,1540.96,3.6170E-002
1541.03,-1.441291429,3.6200E-002,1541.03,3.6200E-002,1541.03,3.6200E-002,1541.03,3.6200E-002,1541.03,3.6200E-002
1541.1,-1.440213032,3.6290E-002,1541.1,3.6290E-002,1541.1,3.6290E-002,1541.1,3.6290E-002,1541.1,3.6290E-002
1541.17,-1.439376125,3.6360E-002,1541.17,3.6360E-002,1541.17,3.6360E-002,1541.17,3.6360E-002,1541.17,3.6360E-002
1541.24,-1.438064237,3.6470E-002,1541.24,3.6470E-002,1541.24,3.6470E-002,1541.24,3.6470E-002,1541.24,3.6470E-002
1541.31,-1.437588167,3.6510E-002,1541.31,3.6510E-002,1541.31,3.6510E-002,1541.31,3.6510E-002,1541.31,3.6510E-002
1541.38,-1.436518915,3.6600E-002,1541.38,3.6600E-002,1541.38,3.6600E-002,1541.38,3.6600E-002,1541.38,3.6600E-002
1541.45,-1.435452288,3.6690E-002,1541.45,3.6690E-002,1541.45,3.6690E-002,1541.45,3.6690E-002,1541.45,3.6690E-002
1541.52,-1.434624497,3.6760E-002,1541.52,3.6760E-002,1541.52,3.6760E-002,1541.52,3.6760E-002,1541.52,3.6760E-002
1541.59,-1.433798281,3.6830E-002,1541.59,3.6830E-002,1541.59,3.6830E-002,1541.59,3.6830E-002,1541.59,3.6830E-002
1541.66,-1.432973634,3.6900E-002,1541.66,3.6900E-002,1541.66,3.6900E-002,1541.66,3.6900E-002,1541.66,3.6900E-002
1541.73,-1.432033093,3.6980E-002,1541.73,3.6980E-002,1541.73,3.6980E-002,1541.73,3.6980E-002,1541.73,3.6980E-002
1541.8,-1.431446288,3.7030E-002,1541.8,3.7030E-002,1541.8,3.7030E-002,1541.8,3.7030E-002,1541.8,3.7030E-002
1541.87,-1.43062609,3.7100E-002,1541.87,3.7100E-002,1541.87,3.7100E-002,1541.87,3.7100E-002,1541.87,3.7100E-002
1541.94,-1.429924295,3.7160E-002,1541.94,3.7160E-002,1541.94,3.7160E-002,1541.94,3.7160E-002,1541.94,3.7160E-002
1542.01,-1.428990328,3.7240E-002,1542.01,3.7240E-002,1542.01,3.7240E-002,1542.01,3.7240E-002,1542.01,3.7240E-002
1542.08,-1.428640607,3.7270E-002,1542.08,3.7270E-002,1542.08,3.7270E-002,1542.08,3.7270E-002,1542.08,3.7270E-002
1542.15,-1.427709394,3.7350E-002,1542.15,3.7350E-002,1542.15,3.7350E-002,1542.15,3.7350E-002,1542.15,3.7350E-002
1542.22,-1.426780173,3.7430E-002,1542.22,3.7430E-002,1542.22,3.7430E-002,1542.22,3.7430E-002,1542.22,3.7430E-002
1542.29,-1.426548178,3.7450E-002,1542.29,3.7450E-002,1542.29,3.7450E-002,1542.29,3.7450E-002,1542.29,3.7450E-002
1542.36,-1.425852936,3.7510E-002,1542.36,3.7510E-002,1542.36,3.7510E-002,1542.36,3.7510E-002,1542.36,3.7510E-002
1542.43,-1.425043224,3.7580E-002,1542.43,3.7580E-002,1542.43,3.7580E-002,1542.43,3.7580E-002,1542.43,3.7580E-002
1542.5,-1.425043224,3.7580E-002,1542.5,3.7580E-002,1542.5,3.7580E-002,1542.5,3.7580E-002,1542.5,3.7580E-002
1542.57,-1.424465782,3.7630E-002,1542.57,3.7630E-002,1542.57,3.7630E-002,1542.57,3.7630E-002,1542.57,3.7630E-002
1542.64,-1.424465782,3.7630E-002,1542.64,3.7630E-002,1542.64,3.7630E-002,1542.64,3.7630E-002,1542.64,3.7630E-002
1542.71,-1.424235019,3.7650E-002,1542.71,3.7650E-002,1542.71,3.7650E-002,1542.71,3.7650E-002,1542.71,3.7650E-002
1542.78,-1.424119684,3.7660E-002,1542.78,3.7660E-002,1542.78,3.7660E-002,1542.78,3.7660E-002,1542.78,3.7660E-002
1542.85,-1.424350385,3.7640E-002,1542.85,3.7640E-002,1542.85,3.7640E-002,1542.85,3.7640E-002,1542.85,3.7640E-002
1542.92,-1.424581209,3.7620E-002,1542.92,3.7620E-002,1542.92,3.7620E-002,1542.92,3.7620E-002,1542.92,3.7620E-002
1542.99,-1.424350385,3.7640E-002,1542.99,3.7640E-002,1542.99,3.7640E-002,1542.99,3.7640E-002,1542.99,3.7640E-002
1543.06,-1.424350385,3.7640E-002,1543.06,3.7640E-002,1543.06,3.7640E-002,1543.06,3.7640E-002,1543.06,3.7640E-002
1543.13,-1.425043224,3.7580E-002,1543.13,3.7580E-002,1543.13,3.7580E-002,1543.13,3.7580E-002,1543.13,3.7580E-002
1543.2,-1.425274416,3.7560E-002,1543.2,3.7560E-002,1543.2,3.7560E-002,1543.2,3.7560E-002,1543.2,3.7560E-002
1543.27,-1.425274416,3.7560E-002,1543.27,3.7560E-002,1543.27,3.7560E-002,1543.27,3.7560E-002,1543.27,3.7560E-002
1543.34,-1.426548178,3.7450E-002,1543.34,3.7450E-002,1543.34,3.7450E-002,1543.34,3.7450E-002,1543.34,3.7450E-002
1543.41,-1.426780173,3.7430E-002,1543.41,3.7430E-002,1543.41,3.7430E-002,1543.41,3.7430E-002,1543.41,3.7430E-002
1543.48,-1.427360703,3.7380E-002,1543.48,3.7380E-002,1543.48,3.7380E-002,1543.48,3.7380E-002,1543.48,3.7380E-002
1543.55,-1.427825686,3.7340E-002,1543.55,3.7340E-002,1543.55,3.7340E-002,1543.55,3.7340E-002,1543.55,3.7340E-002
1543.62,-1.428990328,3.7240E-002,1543.62,3.7240E-002,1543.62,3.7240E-002,1543.62,3.7240E-002,1543.62,3.7240E-002
1543.69,-1.430041182,3.7150E-002,1543.69,3.7150E-002,1543.69,3.7150E-002,1543.69,3.7150E-002,1543.69,3.7150E-002
1543.76,-1.430509046,3.7110E-002,1543.76,3.7110E-002,1543.76,3.7110E-002,1543.76,3.7110E-002,1543.76,3.7110E-002
1543.83,-1.431680915,3.7010E-002,1543.83,3.7010E-002,1543.83,3.7010E-002,1543.83,3.7010E-002,1543.83,3.7010E-002
1543.9,-1.432738308,3.6920E-002,1543.9,3.6920E-002,1543.9,3.6920E-002,1543.9,3.6920E-002,1543.9,3.6920E-002
1543.97,-1.433916216,3.6820E-002,1543.97,3.6820E-002,1543.97,3.6820E-002,1543.97,3.6820E-002,1543.97,3.6820E-002
1544.04,-1.435097327,3.6720E-002,1544.04,3.6720E-002,1544.04,3.6720E-002,1544.04,3.6720E-002,1544.04,3.6720E-002
